"Sample","Cluster"
"ec302_GSM1296956",1
"ec303_GSM1296958",2
"ec305_GSM1296960",1
"ec306_GSM1296962",1
"ec325_GSM1296964",2
"ec326_GSM1296966",1
"ec330_GSM1296968",1
"ec331_GSM1296970",1
"ec308_GSM1296972",2
"ec309_GSM1296974",2
"ec311_GSM1296976",2
"ec312_GSM1296978",2
"ec315_GSM1296980",2
"ec316_GSM1296982",2
"ec317_GSM1296984",2
"ec318_GSM1296986",2
"ec319_GSM1296988",2
"ec321_GSM1296990",2
"ec322_GSM1296992",2
"ec324_GSM1296994",2
"ec333_GSM1296996",1
"ec334_GSM1296998",2
"ec337_GSM1297000",1
"ec338_GSM1297002",2
"ec340_GSM1297004",2
"ec341_GSM1297006",1
"ec342_GSM1297008",2
"ec347_GSM1297010",2
"ec353_GSM1297012",2
"ec355_GSM1297014",2
"ec361_GSM1297016",2
"ec362_GSM1297018",1
"ec365_GSM1297020",1
"ec366_GSM1297022",1
"ec367_GSM1297024",2
"ec370_GSM1297026",2
"ec371_GSM1297028",1
"ec373_GSM1297030",2
"ec374_GSM1297032",1
"ec375_GSM1297034",1
"ec406_GSM1297036",2
"ec407_GSM1297038",2
"ec408_GSM1297040",2
"ec409_GSM1297042",2
"ec376_GSM1297044",1
"ec378_GSM1297046",2
"ec380_GSM1297048",2
"ec381_GSM1297050",2
"ec382_GSM1297052",2
"ec385_GSM1297054",2
"ec391_GSM1297056",1
"ec392_GSM1297058",2
"ec393_GSM1297060",2
"ec396_GSM1297062",2
"ec398_GSM1297064",2
"ec400_GSM1297066",2
"ec402_GSM1297068",2
"ec403_GSM1297070",1
"ec404_GSM1297072",2
"ec405_GSM1297074",1
"ec224_GSM1297076",2
"ec225_GSM1297078",1
"ec226_GSM1297080",2
"ec227_GSM1297082",2
"ec251_GSM1297084",2
"ec253_GSM1297086",1
"ec256_GSM1297088",2
"ec258_GSM1297090",1
"ec259_GSM1297092",1
"ec260_GSM1297094",2
"ec261_GSM1297096",1
"ec262_GSM1297098",1
"ec264_GSM1297100",1
"ec265_GSM1297102",2
"ec266_GSM1297104",2
"ec269_GSM1297106",1
"ec273_GSM1297108",2
"ec274_GSM1297110",2
"ec275_GSM1297112",2
"ec277_GSM1297114",1
"ec279_GSM1297116",2
"ec280_GSM1297118",1
"ec281_GSM1297120",2
"ec284_GSM1297122",2
"ec285_GSM1297124",2
"ec287_GSM1297126",1
"ec288_GSM1297128",2
"ec29_GSM1297130",2
"ec30_GSM1297132",1
"ec68_GSM1297134",1
"ec80_GSM1297136",2
"ec81_GSM1297138",1
"ec108_GSM1297140",1
"ec119_GSM1297142",2
"ec120_GSM1297144",2
"ec122_GSM1297146",2
"ec131_GSM1297148",1
"ec132_GSM1297150",2
"ec134_GSM1297152",2
"ec135_GSM1297154",1
"ec142_GSM1297156",2
"ec148_GSM1297158",1
"ec136_GSM1297160",1
"ec146_GSM1297162",2
"ec205_GSM1297164",1
"ec206_GSM1297166",2
"ec207_GSM1297168",1
"ec208_GSM1297170",1
"ec210_GSM1297172",2
"ec211_GSM1297174",1
"ec212_GSM1297176",2
"ec214_GSM1297178",1
"ec215_GSM1297180",2
"ec216_GSM1297182",2
"ec218_GSM1297184",1
"ec219_GSM1297186",2
"ec220_GSM1297188",2
"ec221_GSM1297190",2
"ec222_GSM1297192",2
"ec223_GSM1297194",1
"ec236_GSM1297196",2
"ec239_GSM1297198",2
"ec241_GSM1297200",2
"ec243_GSM1297202",1
"ec245_GSM1297204",2
"ec246_GSM1297206",2
"ec247_GSM1297208",2
"ec249_GSM1297210",2
"ec228_GSM1297212",1
"ec229_GSM1297214",1
"ec231_GSM1297216",2
"ec234_GSM1297218",2
"ec102_GSM1297220",2
"ec112_GSM1297222",1
"ec117_GSM1297224",1
"ec129_GSM1297226",1
"ec201_GSM1297228",1
"ec217_GSM1297230",2
"ec268_GSM1297232",2
"ec290_GSM1297234",2
"ec297_GSM1297236",2
"ec9_GSM1297238",2
"ec10_GSM1297240",2
"ec11_GSM1297242",2
"ec12_GSM1297244",2
"ec13_GSM1297246",2
"ec23_GSM1297248",2
"ec25_GSM1297250",1
"ec26_GSM1297252",1
"ec27_GSM1297254",2
"ec28_GSM1297256",1
"ec31_GSM1297258",2
"ec32_GSM1297260",1
"ec36_GSM1297262",2
"ec42_GSM1297264",1
"ec45_GSM1297266",1
"ec46_GSM1297268",1
"ec49_GSM1297270",2
"ec51_GSM1297272",2
"ec52_GSM1297274",2
"ec60_GSM1297276",1
"ec61_GSM1297278",2
"ec71_GSM1297280",1
"ec73_GSM1297282",2
"ec74_GSM1297284",1
"ec76_GSM1297286",1
"ec77_GSM1297288",2
"ec79_GSM1297290",1
"ec87_GSM1297292",2
"ec91_GSM1297294",2
"ec92_GSM1297296",2
"ec94_GSM1297298",2
"ec4_GSM1297300",2
"ec6_GSM1297302",1
"ec7_GSM1297304",2
"ec96_GSM1297306",2
"ec97_GSM1297308",2
"ec101_GSM1297310",2
"ec106_GSM1297312",2
